Name,Qty,Price,Link,Purpose
Raspberry,Pi,AI,HAT+,"2,1,130,https://www.centralcomputer.com/raspberry-pi-sc2166-ai-hat-2.html?srsltid=AfmBOoqVyTavf4R-0nQWMLQnwVV_mxNyqDqzDi5Yc5Z4S8FtXT6pSgsLuTM,AI",inference
Tracked,chassis,"kit,1,73,https://www.amazon.com/dp/B0B6ZFQHF4?ref=cm_sw_r_cso_tg_apin_dp_BQSM2BM11BMAAMD8HGNY_2&ref_=cm_sw_r_cso_tg_apin_dp_BQSM2BM11BMAAMD8HGNY_2&social_share=cm_sw_r_cso_tg_apin_dp_BQSM2BM11BMAAMD8HGNY_2,Robot",mobility
Motor,driver,"BTS7960,1,17,https://www.amazon.com/Teyleten-Robot-BTS7960-Driver-Arduino/dp/B099N8XS5P/ref=sr_1_3?adgrpid=186846942176&dib=eyJ2IjoiMSJ9.sg8pKTi20XzhAcny9kwcKlRy_m4lnPji1QAexNhO74AKZF0gvMIXEw_hCnXp8HfDZgPhlvnnYh7mzk2NVURlZXZPy0iYsfSBLrF8Tfc7mI1rG-lqHkfhffIP_SsLCL3BIRSpcTF8KlBPjadIopMHHJ1RRq0Ryjjg-VH-GkRf5OWWCssnqf1NVJ0IUqnrg35tGYhLgHDWCf2244ELELcLS_Vv01O6v2y_YC-idbiO6Vg.N0n18jIvdqlojdegr6eIH2aHfIS_zLHIwW37wxCoHwc&dib_tag=se&hvadid=793069904618&hvdev=c&hvexpln=0&hvlocphy=9032531&hvnetw=g&hvocijid=16436601593384231898--&hvqmt=e&hvrand=16436601593384231898&hvtargid=kwd-2427568821965&hydadcr=569_1015366230_1107212&keywords=bts7960+43a+motor+driver+module&mcid=9b483946b7523b2fad2379e36b36ae03&qid=1773971144&sr=8-3,DC",motor,control
DC-DC,Buck,Converter,"12A,1,18,https://www.amazon.com/dp/B078Q1624B?ref=cm_sw_r_cso_tg_apin_dp_RNWJ680DERE3WG2J66YJ_1&ref_=cm_sw_r_cso_tg_apin_dp_RNWJ680DERE3WG2J66YJ_1&social_share=cm_sw_r_cso_tg_apin_dp_RNWJ680DERE3WG2J66YJ_1&th=1,Power",regulation
Infrared,LED,"board,2,10,https://www.robotshop.com/products/infrared-led-board-rpi-camera,Night",vision
